model,top1_accuracy,top2_accuracy,top3_accuracy,top4_accuracy,top5_accuracy,top1_error,top2_error,top3_error,top4_error,top5_error,avg_similarity
CLIP,0.1955,0.3565,0.4985,0.6255,0.74,0.8045,0.6435,0.5015000000000001,0.37450000000000006,0.26,-0.034135558
BLIP,0.2125,0.4005,0.5405,0.679,0.7855,0.7875,0.5994999999999999,0.4595,0.32099999999999995,0.21450000000000002,0.16093582
VILT,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
CLIPFromScratch,0.125,0.2495,0.3755,0.5,0.6285,0.875,0.7505,0.6245,0.5,0.37150000000000005,-0.12239388
BLIPFromScratch,0.1255,0.252,0.3765,0.5025,0.623,0.8745,0.748,0.6234999999999999,0.49750000000000005,0.377,0.0021737155
VILTFromScratch,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
